"CORP","Quarterly Data","Current Ratio","Long-term Debt / Capital","Debt/Equity Ratio","Gross Margin","Operating Margin","EBIT Margin","EBITDA Margin","Pre-Tax Profit Margin","Net Profit Margin","Asset Turnover","Inventory Turnover Ratio","Receiveable Turnover","Days Sales In Receivables","ROE - Return On Equity","Return On Tangible Equity","ROA - Return On Assets","ROI - Return On Investment","Book Value Per Share","Operating Cash Flow Per Share","Free Cash Flow Per Share","Basic EPS","SH LOG10","Bin"
"TSM","3/31/2005","4.1925","0.0489","0.0777","38.8136","25.2542","25.2542","0","29.1525","30.2373","0.113","2.3949","2.3413","38.4407","4.0625","4.0619","3.4176","3.8637","0","0.2303","-0.0183","0.1","0","0"
"TSM","6/30/2005","2.0966","0.0483","0.0781","38.6911","32.0942","32.0942","0","29.5812","30.6806","0.1209","2.5202","2.0042","44.9058","4.8226","4.8226","3.7098","4.5896","0","0.166","0.1049","0.11","0.052788260773736","0"
"TSM","9/30/2005","3.8461","0.0453","0.073","44.067","35.9702","35.9702","0","35.2722","35.3653","0.1476","2.6476","1.9153","46.9893","6.135","6.135","5.2209","5.857","0","0.2084","0.1679","0.14","-0.045123011073519","0"
"TSM","12/31/2005","6.0433","0.0445","0.0473","50.7296","44.0437","44.0437","0","42.6587","41.756","0.1532","2.0004","2.1059","42.737","7.456","7.558","6.3957","7.1242","0","0.3445","0.2147","0.2","0.081201854936408","0"
"TSM","3/31/2006","6.3439","0.0344","0.0408","48.8285","39.2887","39.2887","0","42.5941","42.1757","0.1397","2.1869","2.041","44.0962","6.9003","6.9003","5.9391","6.6632","0","0.2872","0.2222","0.19","0.0065243021545923","0"
"TSM","6/30/2006","2.5361","0.0367","0.0437","51.7633","43.0251","43.0251","0","44.1614","41.3793","0.1393","1.9887","2.1775","41.3323","7.6572","7.6572","5.7623","7.3764","0","0.2871","0.1633","0.2","-0.026918078448867","0"
"TSM","9/30/2006","5.0094","0.0342","0.0406","49.8809","40.7863","40.7863","0","42.0572","39.4361","0.1479","2.0554","2.2088","40.7466","6.8308","6.8308","5.834","6.5976","0","0.3094","0.1453","0.19","0.019428577691089","0"
"TSM","12/31/2006","5.555","0.0264","0.0409","45.4183","36.9952","36.9952","0","38.9006","37.2317","0.1266","1.8636","2.3742","37.908","5.4533","5.5183","4.7153","5.3094","0","0.3003","0.2015","0.16","0.056348924459287","0"
"TSM","3/31/2007","6.3387","0.023","0.0325","37.9118","27.5722","27.5722","0","30.9174","29.2448","0.1072","1.8202","1.973","45.6158","3.5905","3.5905","3.1362","3.508","0","0.2179","0.1382","0.11","-0.0072117188346247","0"
"TSM","6/30/2007","2.3006","0.0257","0.0367","42.9456","32.9943","32.9943","0","37.4171","34.0115","0.1161","1.7551","1.9974","45.0597","5.3122","5.3122","3.9491","5.1757","0","0.2085","0.0584","0.15","0.015086722116594","0"
"TSM","9/30/2007","4.9134","0.0242","0.0344","45.7778","36.3704","36.3704","0","38.4815","34.1482","0.1504","1.9494","2.0817","43.2333","5.9688","5.9688","5.1362","5.8244","0","0.2598","0.1345","0.17","-0.041314645940888","0"
"TSM","12/31/2007","5.1299","0.0248","0.026","47.6158","39.2882","39.2882","0","41.7415","36.7312","0.1645","2.0517","2.2125","40.6773","7.0281","7.0281","6.0411","6.8536","0","0.3663","0.2407","0.2","-0.0069211747729176","0"
"TSM","3/31/2008","4.5377","0.0087","0.0249","43.7297","33.3213","33.3213","0","36.1041","32.2732","0.1409","2.1625","2.2171","40.5927","5.2931","5.2931","4.5478","5.2471","0","0.3415","0.2503","0.17","0.013311074622003","0"
"TSM","6/30/2008","2.0397","0.01","0.0101","45.6492","34.4613","34.4613","0","36.7403","32.7693","0.1429","2.0442","2.1001","42.8557","6.4488","6.4488","4.6823","6.3846","0","0.2813","0.144","0.18","0.026254311353943","0"
"TSM","9/30/2008","3.7394","0.0096","0.0274","46.3472","35.3887","35.3887","0","37.0308","33.0764","0.1743","2.3579","2.1148","42.557","6.8078","6.8078","5.7659","6.7427","0","0.3529","0.2868","0.19","-0.066085147916499","0"
"TSM","12/31/2008","4.4459","0.0093","0.0265","30.4791","17.8389","17.8389","0","19.419","19.2661","0.1154","3.0088","3.4849","25.8257","2.5857","2.5857","2.2224","2.5617","0","0.3239","0.2721","0.07","-0.07411246899525","0"
"TSM","3/31/2009","5.9178","0.0092","0.0099","18.9863","3.0928","3.0928","0","1.89","3.9519","0.0714","2.1628","2.8529","31.5464","0.3215","0.3215","0.2822","0.3185","0","0.1709","0.135","0.01","0.054195935074539","0"
"TSM","6/30/2009","2.3868","0.0102","0.011","46.2087","33.8537","33.8537","0","35.5486","32.917","0.1252","2.0865","2.2045","40.8252","5.5376","5.5376","4.1222","5.4813","0","0.1207","0.0826","0.14","0.021766566707699","0"
"TSM","9/30/2009","4.4409","0.0096","0.0104","47.6659","35.558","35.558","0","36.6521","33.9898","0.1629","2.4077","2.4614","36.5646","6.4311","6.4311","5.5381","6.3696","0","0.2797","0.0908","0.18","0.068386996169797","0"
"TSM","12/31/2009","3.2832","0.0116","0.0136","51.6923","30.3209","30.3209","0","40.5477","35.4762","0.1542","2.4818","2.6818","33.5601","6.5717","6.6514","5.4709","6.4958","0","0.3629","0.1133","0.19","0.018615470308655","0"
"TSM","3/31/2010","3.3959","0.0084","0.0109","47.9376","37.0191","37.0191","0","38.3016","36.4991","0.1464","2.1066","2.308","38.9948","6.3441","6.3441","5.3452","6.2907","0","0.2735","-0.0006","0.2","-0.037650536263448","0"
"TSM","6/30/2010","1.7239","0.0089","0.0472","49.4695","38.5571","38.5571","0","40.4062","38.3753","0.1564","2.1706","2.2156","40.6214","8.224","8.6546","6.0026","8.1504","0","0.2912","-0.0218","0.24","-0.031325670526866","0"
"TSM","9/30/2010","2.2582","0.0083","0.0784","49.9858","38.3499","38.3499","0","44.239","41.8208","0.165","2.0658","2.3247","38.7141","8.5143","9.0489","6.8991","8.4439","0","0.3843","0.1302","0.28","0.016588137330625","0"
"TSM","12/31/2010","2.1228","0.0078","0.0626","49.7517","37.7483","37.7483","0","39.0177","36.9757","0.1531","1.9465","2.5611","35.1407","7.0877","7.1619","5.6602","7.0326","0","0.4649","0.1551","0.26","0.09225958149738","0"
"TSM","3/31/2011","1.9692","0","0.0635","48.9468","37.2903","37.2903","0","38.1808","34.4265","0.1416","1.6988","2.268","39.6819","5.9701","6.2144","4.8739","5.9701","0","0.3722","-0.1608","0.24","-0.012650248197841","0"
